example_id                                                              | status | run_time        |
./spec/mailers/user_mailer_spec.rb[1:2:1]                               | passed | 0.30466 seconds |
./spec/mailers/user_mailer_spec.rb[1:2:2]                               | passed | 0.30068 seconds |
./spec/mailers/user_mailer_spec.rb[1:3:1]                               | passed | 0.3376 seconds  |
./spec/mailers/user_mailer_spec.rb[1:3:2]                               | passed | 0.31896 seconds |
./spec/models/ad_integration_spec.rb[1:1:1]                             | passed | 0.0197 seconds  |
./spec/models/ad_integration_spec.rb[1:2:1]                             | passed | 0.02409 seconds |
./spec/models/ad_integration_spec.rb[1:2:2]                             | passed | 0.02449 seconds |
./spec/models/ad_integration_spec.rb[1:2:3]                             | passed | 0.02178 seconds |
./spec/models/ad_integration_spec.rb[1:2:4]                             | passed | 0.02811 seconds |
./spec/models/ad_integration_spec.rb[1:3:1]                             | passed | 0.00829 seconds |
./spec/models/ad_integration_spec.rb[1:3:2]                             | passed | 0.01249 seconds |
./spec/models/ad_integration_spec.rb[1:4:1]                             | passed | 0.02656 seconds |
./spec/models/ad_integration_spec.rb[1:5:1]                             | passed | 0.04106 seconds |
./spec/models/ad_integration_spec.rb[1:6:1]                             | passed | 0.03484 seconds |
./spec/models/ad_integration_spec.rb[1:7:1]                             | passed | 0.02521 seconds |
./spec/models/bant_criterion_spec.rb[1:1:1]                             | passed | 0.01647 seconds |
./spec/models/bant_criterion_spec.rb[1:2:1]                             | passed | 0.03032 seconds |
./spec/models/bant_criterion_spec.rb[1:2:2]                             | passed | 0.02843 seconds |
./spec/models/bant_criterion_spec.rb[1:2:3]                             | passed | 0.0352 seconds  |
./spec/models/bant_criterion_spec.rb[1:2:4]                             | passed | 0.02838 seconds |
./spec/models/bant_criterion_spec.rb[1:2:5]                             | passed | 0.02614 seconds |
./spec/models/bant_criterion_spec.rb[1:2:6]                             | passed | 0.02095 seconds |
./spec/models/bant_criterion_spec.rb[1:2:7]                             | passed | 0.01215 seconds |
./spec/models/bant_criterion_spec.rb[1:2:8]                             | passed | 0.01172 seconds |
./spec/models/bant_criterion_spec.rb[1:2:9]                             | passed | 0.01168 seconds |
./spec/models/contact_spec.rb[1:1:1]                                    | passed | 0.03275 seconds |
./spec/models/contact_spec.rb[1:1:2]                                    | passed | 0.03325 seconds |
./spec/models/contact_spec.rb[1:1:3]                                    | passed | 0.01951 seconds |
./spec/models/contact_spec.rb[1:1:4]                                    | passed | 0.02064 seconds |
./spec/models/contact_spec.rb[1:1:5]                                    | passed | 0.02047 seconds |
./spec/models/contact_spec.rb[1:2:1]                                    | passed | 0.06699 seconds |
./spec/models/contact_spec.rb[1:2:2]                                    | passed | 0.03026 seconds |
./spec/models/contact_spec.rb[1:2:3]                                    | passed | 0.03152 seconds |
./spec/models/contact_spec.rb[1:2:4]                                    | passed | 0.028 seconds   |
./spec/models/contact_spec.rb[1:2:5]                                    | passed | 0.02792 seconds |
./spec/models/contact_spec.rb[1:2:6]                                    | passed | 0.02804 seconds |
./spec/models/contact_spec.rb[1:2:7]                                    | passed | 0.03357 seconds |
./spec/models/contact_spec.rb[1:2:8]                                    | passed | 0.0124 seconds  |
./spec/models/contact_spec.rb[1:3:1]                                    | passed | 0.02883 seconds |
./spec/models/contact_spec.rb[1:3:2]                                    | passed | 0.02841 seconds |
./spec/models/contact_spec.rb[1:4:1]                                    | passed | 0.07381 seconds |
./spec/models/contact_spec.rb[1:4:2]                                    | passed | 0.05717 seconds |
./spec/models/contact_spec.rb[1:5:1]                                    | passed | 0.03949 seconds |
./spec/models/contact_spec.rb[1:6:1]                                    | passed | 0.0909 seconds  |
./spec/models/contact_spec.rb[1:6:2]                                    | passed | 0.06145 seconds |
./spec/models/contact_spec.rb[1:7:1]                                    | passed | 0.02165 seconds |
./spec/models/contact_spec.rb[1:7:2]                                    | passed | 0.01929 seconds |
./spec/models/contact_spec.rb[1:7:3]                                    | passed | 0.02012 seconds |
./spec/models/export_spec.rb[1:1:1]                                     | passed | 0.31198 seconds |
./spec/models/export_spec.rb[1:1:2]                                     | passed | 0.30795 seconds |
./spec/models/export_spec.rb[1:1:3]                                     | passed | 0.31512 seconds |
./spec/models/export_spec.rb[1:1:4]                                     | passed | 0.30375 seconds |
./spec/models/export_spec.rb[1:2:1]                                     | passed | 0.30408 seconds |
./spec/models/export_spec.rb[1:2:2]                                     | passed | 0.3051 seconds  |
./spec/models/export_spec.rb[1:2:3]                                     | passed | 0.30685 seconds |
./spec/models/export_spec.rb[1:3:1]                                     | passed | 0.31532 seconds |
./spec/models/export_spec.rb[1:4:1]                                     | passed | 0.36103 seconds |
./spec/models/landing_page_spec.rb[1:1:1]                               | passed | 0.01607 seconds |
./spec/models/landing_page_spec.rb[1:1:2]                               | passed | 0.00975 seconds |
./spec/models/landing_page_spec.rb[1:2:1]                               | passed | 0.02194 seconds |
./spec/models/landing_page_spec.rb[1:2:2]                               | passed | 0.0276 seconds  |
./spec/models/landing_page_spec.rb[1:2:3]                               | passed | 0.02115 seconds |
./spec/models/landing_page_spec.rb[1:2:4]                               | passed | 0.01368 seconds |
./spec/models/landing_page_spec.rb[1:2:5]                               | passed | 0.02335 seconds |
./spec/models/landing_page_spec.rb[1:3:1]                               | passed | 0.01382 seconds |
./spec/models/landing_page_spec.rb[1:3:2]                               | passed | 0.02812 seconds |
./spec/models/landing_page_spec.rb[1:3:3]                               | passed | 0.02142 seconds |
./spec/models/landing_page_spec.rb[1:3:4]                               | passed | 0.02225 seconds |
./spec/models/landing_page_spec.rb[1:4:1]                               | passed | 0.02953 seconds |
./spec/models/landing_page_spec.rb[1:5:1]                               | passed | 0.01162 seconds |
./spec/models/landing_page_spec.rb[1:5:2]                               | passed | 0.01108 seconds |
./spec/models/landing_page_spec.rb[1:5:3]                               | passed | 0.00878 seconds |
./spec/models/lead_source_spec.rb[1:1:1]                                | passed | 0.02811 seconds |
./spec/models/lead_source_spec.rb[1:1:2]                                | passed | 0.02937 seconds |
./spec/models/lead_source_spec.rb[1:1:3]                                | passed | 0.0362 seconds  |
./spec/models/lead_source_spec.rb[1:1:4]                                | passed | 0.03895 seconds |
./spec/models/lead_source_spec.rb[1:1:5]                                | passed | 0.01732 seconds |
./spec/models/lead_source_spec.rb[1:1:6]                                | passed | 0.03659 seconds |
./spec/models/lead_source_spec.rb[1:2:1]                                | passed | 0.05271 seconds |
./spec/models/opportunity_log_spec.rb[1:1:1]                            | passed | 0.6531 seconds  |
./spec/models/opportunity_log_spec.rb[1:1:2]                            | passed | 0 seconds       |
./spec/models/opportunity_log_spec.rb[1:1:3]                            | passed | 0.67642 seconds |
./spec/models/opportunity_log_spec.rb[1:1:4]                            | passed | 0.67821 seconds |
./spec/models/opportunity_log_spec.rb[1:2:1]                            | passed | 0.71942 seconds |
./spec/models/opportunity_log_spec.rb[1:2:2]                            | passed | 0.69832 seconds |
./spec/models/opportunity_log_spec.rb[1:2:3]                            | passed | 0.68974 seconds |
./spec/models/opportunity_log_spec.rb[1:2:4]                            | passed | 0.69783 seconds |
./spec/models/opportunity_log_spec.rb[1:3:1]                            | passed | 0.98597 seconds |
./spec/models/opportunity_spec.rb[1:1:1]                                | passed | 0.31812 seconds |
./spec/models/opportunity_spec.rb[1:1:2]                                | passed | 0.32288 seconds |
./spec/models/opportunity_spec.rb[1:1:3]                                | passed | 0.31355 seconds |
./spec/models/opportunity_spec.rb[1:1:4]                                | passed | 0.30781 seconds |
./spec/models/opportunity_spec.rb[1:1:5]                                | passed | 0.30506 seconds |
./spec/models/opportunity_spec.rb[1:1:6]                                | passed | 0.32017 seconds |
./spec/models/opportunity_spec.rb[1:1:7]                                | passed | 0.31851 seconds |
./spec/models/opportunity_spec.rb[1:1:8]                                | passed | 0.31585 seconds |
./spec/models/opportunity_spec.rb[1:1:9]                                | passed | 0.322 seconds   |
./spec/models/opportunity_spec.rb[1:1:10]                               | passed | 0.32106 seconds |
./spec/models/opportunity_spec.rb[1:1:11]                               | passed | 0.3108 seconds  |
./spec/models/opportunity_spec.rb[1:2:1]                                | passed | 0.32479 seconds |
./spec/models/opportunity_spec.rb[1:2:2]                                | passed | 0.33716 seconds |
./spec/models/opportunity_spec.rb[1:2:3]                                | passed | 0.31425 seconds |
./spec/models/opportunity_spec.rb[1:2:4]                                | passed | 0.31196 seconds |
./spec/models/opportunity_spec.rb[1:2:5]                                | passed | 0.36722 seconds |
./spec/models/opportunity_spec.rb[1:3:1]                                | passed | 0.01189 seconds |
./spec/models/opportunity_spec.rb[1:3:2]                                | passed | 0.31667 seconds |
./spec/models/opportunity_spec.rb[1:4:1]                                | passed | 0.30594 seconds |
./spec/models/opportunity_spec.rb[1:4:2]                                | passed | 0.37831 seconds |
./spec/models/opportunity_spec.rb[1:4:3]                                | passed | 0.37848 seconds |
./spec/models/opportunity_spec.rb[1:4:4]                                | passed | 0.37536 seconds |
./spec/models/opportunity_spec.rb[1:4:5]                                | passed | 0.38962 seconds |
./spec/models/opportunity_spec.rb[1:5:1]                                | passed | 1.12 seconds    |
./spec/models/opportunity_spec.rb[1:5:2]                                | passed | 1.08 seconds    |
./spec/models/opportunity_spec.rb[1:5:3]                                | passed | 1.47 seconds    |
./spec/models/opportunity_spec.rb[1:5:4]                                | passed | 1.46 seconds    |
./spec/models/opportunity_spec.rb[1:6:1]                                | passed | 0.93584 seconds |
./spec/models/opportunity_spec.rb[1:7:1]                                | passed | 0.36468 seconds |
./spec/models/pipeline_spec.rb[1:1:1]                                   | passed | 0.01475 seconds |
./spec/models/pipeline_spec.rb[1:1:2]                                   | passed | 0.00818 seconds |
./spec/models/pipeline_spec.rb[1:1:3]                                   | passed | 0.00864 seconds |
./spec/models/pipeline_spec.rb[1:2:1]                                   | passed | 0.02574 seconds |
./spec/models/pipeline_spec.rb[1:2:2]                                   | passed | 0.01778 seconds |
./spec/models/pipeline_spec.rb[1:2:3]                                   | passed | 0.01747 seconds |
./spec/models/pipeline_spec.rb[1:2:4]                                   | passed | 0.03162 seconds |
./spec/models/pipeline_spec.rb[1:3:1]                                   | passed | 0.04731 seconds |
./spec/models/pipeline_spec.rb[1:3:2]                                   | passed | 0.02653 seconds |
./spec/models/pipeline_spec.rb[1:4:1]                                   | passed | 0.03492 seconds |
./spec/models/pipeline_spec.rb[1:4:2]                                   | passed | 0.03642 seconds |
./spec/models/pipeline_spec.rb[1:4:3]                                   | passed | 0.03741 seconds |
./spec/models/pipeline_stage_spec.rb[1:1:1]                             | passed | 0.02005 seconds |
./spec/models/pipeline_stage_spec.rb[1:1:2]                             | passed | 0.01995 seconds |
./spec/models/pipeline_stage_spec.rb[1:1:3]                             | passed | 0.01664 seconds |
./spec/models/pipeline_stage_spec.rb[1:2:1]                             | passed | 0.02463 seconds |
./spec/models/pipeline_stage_spec.rb[1:2:2]                             | passed | 0.02856 seconds |
./spec/models/pipeline_stage_spec.rb[1:2:3]                             | passed | 0.03537 seconds |
./spec/models/pipeline_stage_spec.rb[1:2:4]                             | passed | 0.02284 seconds |
./spec/models/pipeline_stage_spec.rb[1:2:5]                             | passed | 0.02866 seconds |
./spec/models/pipeline_stage_spec.rb[1:2:6]                             | passed | 0.01701 seconds |
./spec/models/pipeline_stage_spec.rb[1:3:1]                             | passed | 0.04213 seconds |
./spec/models/pipeline_stage_spec.rb[1:3:2]                             | passed | 0.03696 seconds |
./spec/models/pipeline_stage_spec.rb[1:3:3]                             | passed | 0.03995 seconds |
./spec/models/pipeline_stage_spec.rb[1:4:1]                             | passed | 0.01686 seconds |
./spec/models/pipeline_stage_spec.rb[1:4:2]                             | passed | 0.01838 seconds |
./spec/models/referral_network_spec.rb[1:1:1]                           | passed | 0.6499 seconds  |
./spec/models/referral_network_spec.rb[1:1:2]                           | passed | 0.63534 seconds |
./spec/models/referral_network_spec.rb[1:1:3]                           | passed | 0.63499 seconds |
./spec/models/referral_network_spec.rb[1:1:4]                           | passed | 0.64286 seconds |
./spec/models/referral_network_spec.rb[1:1:5]                           | passed | 0.94892 seconds |
./spec/models/referral_network_spec.rb[1:1:6]                           | passed | 0.94424 seconds |
./spec/models/referral_network_spec.rb[1:2:1]                           | passed | 0.94837 seconds |
./spec/models/reminder_spec.rb[1:1:1]                                   | passed | 0.68028 seconds |
./spec/models/reminder_spec.rb[1:1:2]                                   | passed | 0.67802 seconds |
./spec/models/reminder_spec.rb[1:1:3]                                   | passed | 0.6847 seconds  |
./spec/models/reminder_spec.rb[1:1:4]                                   | passed | 0 seconds       |
./spec/models/reminder_spec.rb[1:1:5]                                   | passed | 0.69681 seconds |
./spec/models/reminder_spec.rb[1:1:6]                                   | passed | 0.94646 seconds |
./spec/models/reminder_spec.rb[1:2:1]                                   | passed | 0.70343 seconds |
./spec/models/reminder_spec.rb[1:2:2]                                   | passed | 0.69154 seconds |
./spec/models/reminder_spec.rb[1:2:3]                                   | passed | 0.72636 seconds |
./spec/models/reminder_spec.rb[1:3:1]                                   | passed | 0.68144 seconds |
./spec/models/reminder_spec.rb[1:3:2]                                   | passed | 0.71735 seconds |
./spec/models/reminder_spec.rb[1:3:3]                                   | passed | 0.67317 seconds |
./spec/models/reminder_spec.rb[1:3:4]                                   | passed | 0.69919 seconds |
./spec/models/reminder_spec.rb[1:4:1]                                   | passed | 0.70188 seconds |
./spec/models/reminder_spec.rb[1:5:1]                                   | passed | 0.71772 seconds |
./spec/models/reminder_spec.rb[1:5:2]                                   | passed | 0.71461 seconds |
./spec/models/tenant_field_definition_spec.rb[1:1:1]                    | passed | 0.01232 seconds |
./spec/models/tenant_field_definition_spec.rb[1:1:2:1]                  | passed | 0.01184 seconds |
./spec/models/tenant_field_definition_spec.rb[1:1:2:2]                  | passed | 0.02386 seconds |
./spec/models/tenant_field_definition_spec.rb[1:1:2:3]                  | passed | 0.02063 seconds |
./spec/models/tenant_field_definition_spec.rb[1:1:2:4]                  | passed | 0.01367 seconds |
./spec/models/tenant_field_definition_spec.rb[1:1:2:5]                  | passed | 0.01817 seconds |
./spec/models/tenant_field_definition_spec.rb[1:1:2:6]                  | passed | 0.0189 seconds  |
./spec/models/tenant_field_definition_spec.rb[1:1:3:1]                  | passed | 0.03778 seconds |
./spec/models/tenant_field_definition_spec.rb[1:1:3:2]                  | passed | 0.01841 seconds |
./spec/models/tenant_field_definition_spec.rb[1:1:4:1]                  | passed | 0.02771 seconds |
./spec/models/tenant_field_definition_spec.rb[1:1:4:2]                  | passed | 0.02261 seconds |
./spec/models/tenant_field_definition_spec.rb[1:2:1]                    | passed | 0.03424 seconds |
./spec/models/tenant_field_definition_spec.rb[1:2:2]                    | passed | 0.02962 seconds |
./spec/models/tenant_field_definition_spec.rb[1:2:3]                    | passed | 0.0483 seconds  |
./spec/models/tenant_spec.rb[1:1:1]                                     | passed | 0.00872 seconds |
./spec/models/tenant_spec.rb[1:1:2]                                     | passed | 0.01131 seconds |
./spec/models/tenant_spec.rb[1:1:3]                                     | passed | 0.00879 seconds |
./spec/models/tenant_spec.rb[1:1:4]                                     | passed | 0.01281 seconds |
./spec/models/tenant_spec.rb[1:1:5]                                     | passed | 0.01174 seconds |
./spec/models/tenant_spec.rb[1:1:6]                                     | passed | 0.00984 seconds |
./spec/models/tenant_spec.rb[1:1:7]                                     | passed | 0.00957 seconds |
./spec/models/tenant_spec.rb[1:1:8]                                     | passed | 0.00892 seconds |
./spec/models/tenant_spec.rb[1:1:9]                                     | passed | 0.01231 seconds |
./spec/models/tenant_spec.rb[1:1:10]                                    | passed | 0.00848 seconds |
./spec/models/tenant_spec.rb[1:1:11]                                    | passed | 0.00839 seconds |
